   1 	     7.0798 
   2 	    16.4056 
   3 	    25.8315 
   4 	    35.2832 
   5 	    44.5434 
   6 	    53.9016 
   7 	    63.3877 
   8 	    72.7739 
   9 	    82.2154 
  10 	    91.4558 
  11 	   100.8266 
  12 	   110.2433 
  13 	   119.6299 
  14 	   129.0967 
  15 	   138.3753 
  16 	   147.7959 
  17 	   157.2041 
  18 	   166.5039 
  19 	   175.9053 
  20 	   185.2653 
  21 	   194.6660 
  22 	   203.9990 
  23 	   213.4191 
  24 	   222.7021 
  25 	   232.0951 
  26 	   241.4324 
  27 	   250.8692 
